"Plant Name, Unit Number",State,County,NRC Region,Licensee,Parent Company Utility Name,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Constructor ,Licensed MWt,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Years of Operation through 12/31/2019,STAR,class,
"Hope Creek Generating Station, Unit 1",New Jersey,Hancocks Bridge,1,"PSEG Nuclear, LLC","PSEG Nuclear, LLC",BWR-MARK 1,GE 4,BECH,BECH,3902,90%,94%,85%,83%,102%,80%,93%,103%,93%,95%,108%,33,0,1,1
"Indian Point Nuclear Generating, Unit 2",New York,Buchanan,1,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",PWR-DRYAMB,WEST 4LP,UE&C,WDCO,3216,90%,73%,53%,77%,93%,77%,90%,98%,82%,98%,91%,46,0,0,0
"Indian Point Nuclear Generating, Unit 3",New York,Buchanan,1,"Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.",PWR-DRYAMB,WEST 4LP,UE&C,WDCO,3216,92%,78%,102%,86%,98%,94%,100%,90%,99%,85%,107%,44,0,1,1
James A. FitzPatrick Nuclear Power Plant,New York,Scriba,1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",BWR-MARK 1,GE 4,S&W,S&W,2536,89%,80%,76%,96%,79%,89%,84%,97%,85%,99%,89%,45,0,0,0
"Joseph M. Farley Nuclear Plant, Unit 1",Alabama,Columbia,2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,PWR-DRYAMB,WEST 3LP,SSI,DANI,2775,84%,100%,86%,86%,102%,90%,91%,101%,88%,90%,97%,42,0,1,1
"Joseph M. Farley Nuclear Plant, Unit 2",Alabama,Columbia,2,Southern Nuclear Operating Co. ,Southern Nuclear Operating Company,PWR-DRYAMB,WEST 3LP,SSI,BECH,2775,99%,91%,90%,98%,89%,91%,104%,89%,88%,96%,90%,38,0,1,1
"LaSalle County Station, Unit  1",Illinois,Marseilles,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",BWR-MARK 2,GE 5,S&L,CWE,3546,92%,96%,89%,99%,93%,95%,97%,101%,94%,99%,100%,37,0,1,1
"LaSalle County Station, Unit  2",Illinois,Marseilles,3,"Exelon Generation Co., LLC","Exelon Corporation, LLC",BWR-MARK 2,GE 5,S&L,CWE,3546,98%,88%,95%,83%,95%,88%,103%,96%,101%,93%,94%,36,0,1,1
"Limerick Generating Station, Unit 1",Pennsylvania,Limerick,1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",BWR-MARK 2,GE 4,BECH,BECH,3515,92%,100%,93%,100%,91%,101%,85%,96%,91%,101%,95%,34,0,1,0
"Limerick Generating Station, Unit 2",Pennsylvania,Limerick,1,"Exelon Generation Co., LLC","Exelon Corporation, LLC",BWR-MARK 2,GE 4,BECH,BECH,3515,99%,86%,101%,89%,99%,94%,95%,90%,99%,94%,101%,30,0,1,1
